epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7784,2.03111,4.45626,2.00902,0.62851,0.24054,0.26199,0.1071,2.09265,3.6387,2.21964,0.00022,0.00022,0.00022
2,24.9747,1.882,2.92791,1.86238,0.46863,0.1906,0.17564,0.04523,2.52882,3.71548,2.51176,0.000438862,0.000438862,0.000438862
3,33.94,1.94825,2.6707,1.90984,0.18444,0.32329,0.1595,0.05073,2.60584,3.06163,2.83206,0.00064634,0.00064634,0.00064634
4,41.7561,1.95864,2.60141,1.92967,0.43557,0.14366,0.17328,0.06035,2.52702,4.51446,2.59986,0.000842433,0.000842433,0.000842433
5,50.1763,1.95149,2.4514,1.92993,0.17446,0.28259,0.13497,0.04684,2.35395,4.40133,2.63993,0.000901,0.000901,0.000901
6,58.9259,2.00808,2.55002,2.01173,0.30791,0.13943,0.10733,0.02873,2.65629,3.74607,2.83008,0.00087625,0.00087625,0.00087625
7,66.841,1.98194,2.49079,1.9941,0.22637,0.18505,0.19719,0.07301,2.1771,4.4742,2.35195,0.0008515,0.0008515,0.0008515
8,75.5186,1.94684,2.36362,1.91195,0.22379,0.25542,0.20805,0.06308,2.45741,3.79315,2.54982,0.00082675,0.00082675,0.00082675
9,83.9818,1.88314,2.36412,1.90964,0.56171,0.26401,0.22904,0.07773,2.4652,3.29342,2.57159,0.000802,0.000802,0.000802
10,92.0056,1.94644,2.27348,1.91805,0.34614,0.37958,0.29575,0.1014,2.27131,3.4616,2.32129,0.00077725,0.00077725,0.00077725
11,100.735,1.82842,2.23601,1.88335,0.49792,0.19183,0.25359,0.08817,2.23597,3.03527,2.38412,0.0007525,0.0007525,0.0007525
12,109.254,1.7928,2.11451,1.83824,0.27184,0.30115,0.27852,0.09415,2.17242,2.87534,2.3391,0.00072775,0.00072775,0.00072775
13,117.515,1.81982,2.0454,1.82883,0.28873,0.335,0.2557,0.13336,2.12029,2.5277,2.18492,0.000703,0.000703,0.000703
14,126.414,1.72822,2.01151,1.80125,0.37245,0.41732,0.33696,0.14406,2.17873,2.26866,2.30343,0.00067825,0.00067825,0.00067825
